win|勝つ
subtle|微妙な
prime|もっと重要な 第一の
precious|貴重な
urgent|緊急な
ulitimate|最終的な 究極の
genuine|本物の
spare|余分の
gentle|優しい
mature|大人になった
casual|形式ばらない 打ち解けた
fluent|流ちょうな
adequate|十分な
multiple|多くの(部分から成る)
dynamic|(人が)活動的な
ethnic|民族の 人種の
indifferent|無関心な
alien|異質の
acid|酸性の
abstract|抽象的な
sacred|神聖な
ugly|醜い
quote|(を)引用する
arrest|を逮捕する
bury|を埋葬する
interrupt|をさえぎる を中断させる
restore|を(元の状態に)戻す 修復する
wrap|を包む
exhibit|展示する
grip|をしっかり握る
chase|を追いかける
postpone|を延期する
spoil|を台無しにする
cultivate|耕す
forbid|を禁じる
distract|(注意など)をそらす
modify|を(部分的に)修正する
grasp|をぎゅっとつかむ
forgive|(人の罪など)を許す
rescue|を救う
entertain|(人)を楽しませる
consult|(専門家)に意見を求める (辞書など)を調べる
esteem|を尊敬する
greet|(人)に挨拶する
obey|に従う
thrill|を(興奮・快感などで)わくわく［ぞくぞく］させる
deceive|をだます
envy|をうらやむ
justify|を正当化する
resolve|を解決する
forecast|を予測［予想］する
undergo|(変化・試練など)を経験する
float|浮かぶ
leap|飛ぶ
venture|危険を承知で進む
exceed|を上回る
nod|うなずく
hesitate|ためらう 遠慮する
withdraw|を撤回する (預金)をおろす
interfere|邪魔をする 干渉する
gaze|(興味・喜びを持って)見つめる
cough|咳をする
dive|(頭から)飛び込む
burst|破裂する
shame|残念なこと
humor|ユーモア
ambition|願望 夢
debt|借金
usage|(言語の)(慣)用法
occupation|職業
retreat|後退
pardon|許すこと
voyage|航海
legend|伝説
means|手段
pity|哀れみ
affair|事柄 出来事
tragedy|悲惨な出来事
sympathy|同情 共感
fame|名声
instinct|本能
fortune|財産 幸運
merchant|商人
candidate|候補者
oxygen|酸素
geography|地理
span|期間
ecology|生態系
tide|潮(の干満)
architecture|建築(術)
suburb|(都市の)郊外
fare|運賃
baggage|手荷物
nutrition|栄養摂取
refrigerator|冷蔵庫
cabinet|内閣 (飾り)棚
cooperation|協力
divorce|離婚
pale|青白い
rough|ざらざらした
vague|漠然とした
vivid|生き生きとした
antique|骨董の 古風な
passive|受動的な 消極的な
awkward|ぎこちない 気まずい
brave|勇敢な
dull|退屈な
optimistic|楽観的な
pessimistic|悲観的な
liberal|寛大な
sensible|賢明な
selfish|自分勝手な
cruel|残酷な
innocent|無実の 無邪気な
bitter|つらい
thirsty|喉が渇いた
delicate|取り扱いの難しい
jealous|嫉妬深い
ashamed|恥じて
neutral|中立の
desperate|絶望的な 極度の
probable|(十分に)ありそうな
acknowledge|を認める
prohibit|を禁止する
blossom|成長する 開花する
embrace|を抱き締める
confront|(問題などが)に立ちはだかる
heal|を治す 癒やす
rear|を育てる
assign|(物・仕事など)を割り当てる
exaggerate|を誇張する
pronounce|を発音する を明言する 宣言する
reinforce|を強化する
constitute|を構成する
reform|を改革する
violate|(法など)に違反する
irritate|をいらいらさせる
cease|をやめる
insult|を侮辱する
resort|(手段に)訴える
correspond|(・・・に)一致する
conquer|を征服する
prevail|(・・・の間に)普及する
persist|(・・・に)固執する
renew|を更新する
scatter|をまき散らす
conceal|を隠す
flourish|繁栄する
sink|沈む
overwhelm|参らせる
attribute|(・・・の)せいと考える
exclude|を(・・・から)除外する
rob|(人)から奪う
deprive|(人)から(・・・を)奪う
wander|ふらつく 歩き回る
confine|を限定する
reverse|を逆転させる
decorate|を装飾する
anticipate|を予期する
astonish|を(ひどく)驚かせる
spell|(語)をつづる
assess|を評価する
accumlate|をためる 蓄積する
dismiss|を解雇する
discrimination|(・・・に対する)差別
ethusiasm|熱心
obstacle|障害(物)
faculty|(・・・の)才能
abuse|濫用
obligation|(・・・に対する)義務
regulation|規則
credit|信用
contract|(・・・との ・・・のための)契約
insurance|保険
ingredient|(料理の)材料
inhabitant|住民
conservation|(自然環境などの)保護
peer|(能力・年齢などが)同等の人 仲間
scheme|計画
privilege|特典 特権
prosperity|繁栄
heritage|(文化・自然)遺産
orbit|軌道
dimension|側面
portion|部分
infection|伝染病
famine|飢饉
obesity|肥満
appetite|食欲
temper|(怒りっぽい)気質
sweat|汗
core|核心 中心
sequence|連続
proverb|ことわざ
clue|(・・・への)手がかり
procedure|手順
atom|原子
galaxy|銀河
absolute|絶対的な
inevitable|避けられない
radical|根本的な
prompt|迅速な
endangered|絶滅の危機にある
extinct|絶滅した
arctic|北極(地方)の
harsh|厳しい
abundant|豊富な
competent|有能な
prominent|重要な
brilliant|すばらしい
dense|密集した
grand|豪華な
horrible|実にひどい
miserable|惨めな
ridiculous|ばかげた
moderate|適度な
generous|気前のよい
mild|温厚な,温暖な
noble|高貴な
grateful|(・・・に)感謝している
keen|(・・・に)熱心な
deaf|耳が聞こえない
fulfill|(役割・義務など)を果たす
discard|を捨てる
explode|爆発する
exploit|を搾取する
disgust|に嫌悪感を持たせる
equip|に(・・・を)装備させる
inherit|を(・・・から)相続する
transmit|をつたえる
cheat|カンニングをする
dedicate|を(・・・に)ささげる
split|を分裂させる
spill|(液体など)を(・・・に)こぼす
sweep|を掃く を押し流す
strip|を脱ぐ を(・・・から)取り去る
shed|小屋,(涙・血)を流す
submit|を(・・・に)提出する
compromise|(・・・と ・・・について)妥協する
compensate|(人)に(・・・対して)補償する
inquire|(・・・について)尋ねる
offend|を怒らせる
amuse|を笑わせる
strain|をぴんと張る
comprehend|を理解する
appoint|(人)を(・・・に)任命する
attain|を達成する
whisper|(を)(・・・に)ささやく
yell|(を)叫ぶ
boast|(・・・を)自慢する
starve|飢えに苦しむ
bully|をいじめる
crawl|はう
commute|(・・・へ)通勤［通学］する
proceed|進みます
refrain|(〜するのを)控える
fade|(徐々に)消えていく
dare|(否定文・疑問文で)あえて(〜)する
beg|を懇願する
knit|を編む
lean|(・・・に)寄りかかる
bet|(を)賭ける きっと(・・・だ)と思う
digest|(食べ物)を消化する
impulse|(〜したいという)衝動
motive|(・・・の)動機
virtue|美徳
courtesy|礼儀正しさ
acquaintance|知り合い
consent|承諾
ignorance|(・・・を)知らないこと
spectator|(スポーツなどの)観客
narrative|話
output|生産(高)
dignity|尊厳
destiny|(避けられない)運命
funeral|葬式
worship|崇拝
triumph|(大きな)勝利
viewpoint|観点
dawn|夜明け
illusion|錯覚
phase|階段
draft|草稿
toll|(災害などによる)損害
tuition|授業料
circulation|血行
criterion|(判断などの)基準
sculpture|彫刻
grave|墓
tap|蛇口 栓
nursery|保育園
republic|共和国
despair|絶望
decay|虫歯(になった部分)
fatigue|疲労
defect|欠陥
tremendous|(数量などが)とてつもない
loose|解き放された
tense|張り詰めた
steep|(斜面が)急な
shallow|浅い
gradual|徐々の
neat|きちんとした
scarce|乏しい
awful|ひどい
hostile|敵
immense|計り知れない
thorough|徹底的な
valid|正当な
definite|確定した
magnificent|壮大な
holy|神聖な
metropolitan|大都市の
interior|内側の 室内の
bare|裸の
naked|裸の
inferior|(・・・より)劣った
decent|きちんとした
sincere|誠実な
bold|大胆な
scratch|をかく
mend|を修理(修繕)する
dye|を染める
bind|を(・・・で)縛る
bathe|を入浴させる
soak|を(・・・に)浸す
utilize|を利用する
assure|を(・・・だと言って)安心させる
conform|(規則・習慣などに)従う
undertake|を引き受ける
overtake|に追いつく
invade|を侵略する
tease|を(しつこく)からかう
utter|(言葉などを)を発する
confess|(を)告白する
disclose|を明らかにする
betray|を裏切る
contradict|を(間違っていると)否定する
scold|(特に子供)を叱る
condemn|を強く非難する
disregard|を無視する
surrender|を(・・・に)引き渡す
disguise|を変装させる
penetrate|(を)貫く
tolerate|に耐える
suspend|を一時的に中止する
seize|を(ぐいと)つかむ
coincide|(・・・と)同時に起こる
dispose|(despise ofで)を処分する
congratulate|(人)に(・・・のことで)祝いの言葉を述べる
slap|を(平手で)ぴしゃりと打つ
weep|(涙を流して)泣く 涙を流す
resign|(を)辞する
ache|(・・・で)(持続的に)痛む
dread|をひどく恐れる
thrust|(を)ぐいと押す 突く
speculate|推測する
conceive|(を)想像する
pray|祈る
stir|をかき回す
friction|摩擦(力) あつれき
rebel|反逆者
fraction|ほんの少し
quarrel|(・・・との)口論
caution|用心 注意
coward|臆病者
mercy|(・・・に対する)情け 慈悲
glory|栄光(を与えるもの)
sorrow|悲しみ
grief|深い悲しみ
conscience|良心 罪の意識
refuge|(・・・からの)避難
pastime|気晴らし
glimpse|ちらりと見えること
suicide|自殺
prestige|信望 名声
glow|燃えるような輝き
biography|伝記
navy|海軍
ambassador|(しばしばA〜)(・・・駐在の)大使
offspring|(人・動物の)子
crew|乗組員(全員) 乗務員(全員)
diameter|直径
astronomy|天文学
superstition|迷信
encyclopedia|百科事典
rumor|うわさ
microscope|顕微鏡
sphere|球体
plague|疫病
laundry|(the〜)洗濯物
flame|炎
monument|記念碑
deliberate|故意の
supreme|最高の 最大の
splendid|すばらしい
earnest|真剣な
peculiar|(・・・に)特有の
inclined|(〜し)たいと思う (〜する)傾向がある
fierce|どう猛な
absurd|ばかげた
acute|(知覚などが)鋭い
stiff|硬直した
vacant|(部屋などが)空いている
weary|疲れ果てた
superficial|浅い 表面的な
static|変化のない
tidy|(場所などが)整然とした
faint|かすかな
obscure|(意味などが)わかりにくい
savage|激しい
idle|使われていない 仕事がない
uneasy|落ち着かない
sore|(炎症などで)痛い
sour|酸っぱい
humid|湿気のある
loyal|(・・・に)忠実な
infinite|無限の
eternal|永遠の
